age,workclass,education_num,marital_status,occupation,race,sex_female,capital_gain,capital_loss,hours_per_week,income_>50k
30, Private,13.0, Never-married, Exec-managerial, Black,0,0.0,0.0,40.0,0
29, gov,13.0, married, Prof-specialty, White,0,0.0,0.0,50.0,1
19, Private,10.0, Never-married, Other-service, Black,0,0.0,0.0,35.0,0
47, Private,13.0, married, Exec-managerial, White,1,0.0,0.0,40.0,1
20, Private,10.0, Never-married, Adm-clerical, White,1,0.0,1719.0,28.0,0
31, Private,12.0, married, Adm-clerical, White,0,0.0,0.0,40.0,1
39, Private,10.0, separated, Craft-repair, White,0,0.0,0.0,40.0,0
28, Private,12.0, Never-married, Sales, White,1,0.0,0.0,60.0,0
24, Private,9.0, Never-married, Other-service, White,1,0.0,1762.0,40.0,0
38, Self-employed,9.0, married, Craft-repair, White,0,4386.0,0.0,35.0,0
37, Private,13.0, married, Sales, White,0,0.0,0.0,50.0,0
46, Private,12.0, separated, Tech-support, Black,1,0.0,0.0,36.0,0
38, gov,14.0, married, Prof-specialty, White,0,0.0,0.0,40.0,1
43, Self-employed,9.0, married, Craft-repair, White,0,0.0,0.0,60.0,0
27, Private,11.0, married, Adm-clerical, White,1,0.0,0.0,35.0,0
20, Private,10.0, Never-married, Sales, White,0,0.0,0.0,20.0,0
49, Private,10.0, married, Craft-repair, Asian-Pac-Islander,0,0.0,0.0,40.0,1
61, Self-employed,9.0, married, Craft-repair, White,0,0.0,0.0,40.0,0
27, Private,10.0, Never-married, Sales, White,1,0.0,0.0,40.0,0
19, Private,10.0, Never-married, Other-service, White,0,0.0,0.0,30.0,0
45, Private,11.0, Never-married, Prof-specialty, White,1,0.0,1564.0,40.0,1
70, Private,10.0, Never-married, Tech-support, White,0,0.0,0.0,40.0,0
31, Private,9.0, Never-married, Transport-moving, Black,1,0.0,0.0,30.0,0
22, Private,10.0, married, Other-service, White,0,0.0,0.0,24.0,0
36, Private,9.0, separated, Other-service, White,1,0.0,0.0,24.0,0
64, Private,7.0, married, Craft-repair, White,0,0.0,2179.0,40.0,0
47, gov,10.0, separated, Adm-clerical, White,1,0.0,0.0,38.0,0
34, Private,9.0, Never-married, Adm-clerical, White,1,0.0,0.0,40.0,0
33, Private,13.0, Never-married, Exec-managerial, Asian-Pac-Islander,1,0.0,0.0,40.0,0
21, Private,9.0, Never-married, Craft-repair, White,0,0.0,0.0,35.0,0
48, Private,9.0, married, Craft-repair, White,0,0.0,0.0,46.0,0
23, Private,13.0, Never-married, Handlers-cleaners, White,0,0.0,0.0,40.0,0
71, Self-employed,10.0, separated, Sales, Black,0,0.0,1816.0,2.0,0
29, Private,9.0, separated, Craft-repair, White,0,0.0,0.0,60.0,0
42, Private,13.0, separated, Other-service, Black,0,0.0,0.0,50.0,0
25, Private,9.0, Never-married, Other-service, White,1,0.0,0.0,40.0,0
44, Self-employed,14.0, separated, Exec-managerial, Asian-Pac-Islander,1,0.0,0.0,40.0,0
28, Private,9.0, Never-married, Exec-managerial, Asian-Pac-Islander,1,0.0,0.0,40.0,0
45, Self-employed,14.0, married, Sales, White,0,0.0,0.0,40.0,1
36, Private,10.0, separated, Other-service, White,1,0.0,0.0,40.0,0
39, gov,12.0, Never-married, Exec-managerial, White,0,0.0,0.0,42.0,0
46, gov,14.0, separated, Protective-serv, White,0,0.0,0.0,40.0,0
18, Private,7.0, Never-married, Handlers-cleaners, White,0,0.0,0.0,16.0,0
66, gov,11.0, separated, Prof-specialty, White,1,0.0,0.0,20.0,0
27, Private,9.0, Never-married, Other-service, White,0,0.0,1980.0,40.0,0
28, gov,9.0, married, Protective-serv, White,0,0.0,0.0,40.0,0
51, Private,10.0, married, Sales, White,0,0.0,1977.0,40.0,1
27, Private,13.0, Never-married, Craft-repair, White,0,0.0,0.0,50.0,0
28, gov,13.0, married, Prof-specialty, White,0,0.0,0.0,40.0,1
27, Private,9.0, married, Sales, White,1,0.0,0.0,25.0,0
21, Private,9.0, Never-married, Craft-repair, Black,0,0.0,0.0,40.0,0
34, Private,9.0, Never-married, Handlers-cleaners, Black,0,0.0,0.0,40.0,0
18, Private,9.0, Never-married, Other-service, White,0,0.0,0.0,12.0,0
33, Private,13.0, married, Prof-specialty, White,0,0.0,0.0,65.0,0
44, gov,10.0, married, Exec-managerial, Black,0,0.0,0.0,38.0,1
43, Private,10.0, separated, Adm-clerical, White,1,0.0,0.0,40.0,0
30, Private,10.0, Never-married, Craft-repair, Black,0,0.0,0.0,45.0,0
40, Private,4.0, married, Machine-op-inspct, White,0,0.0,0.0,40.0,1
37, gov,10.0, married, Adm-clerical, White,0,0.0,0.0,42.0,1
34, Private,9.0, married, Adm-clerical, Black,0,0.0,0.0,40.0,0
41, Self-employed,13.0, separated, Exec-managerial, White,1,0.0,0.0,40.0,0
31, Private,14.0, married, Prof-specialty, White,1,0.0,0.0,50.0,0
58, gov,16.0, married, Prof-specialty, White,0,0.0,0.0,1.0,1
38, Private,10.0, separated, Machine-op-inspct, Black,1,0.0,0.0,28.0,0
24, Private,10.0, married, Machine-op-inspct, White,0,0.0,0.0,40.0,0
41, gov,13.0, married, Craft-repair, Black,0,0.0,0.0,40.0,0
47, Private,10.0, married, Tech-support, White,0,0.0,0.0,45.0,0
41, gov,13.0, married, Tech-support, White,0,0.0,0.0,24.0,0
23, Private,3.0, married, Transport-moving, White,0,0.0,0.0,40.0,0
36, Private,10.0, separated, Craft-repair, White,0,0.0,0.0,40.0,0
40, gov,14.0, Never-married, Exec-managerial, White,1,14084.0,0.0,55.0,1
35, Private,14.0, married, Prof-specialty, White,0,7298.0,0.0,40.0,1
24, Self-employed,9.0, Never-married, Sales, White,0,0.0,0.0,40.0,0
26, Private,14.0, Never-married, Prof-specialty, White,1,0.0,1876.0,40.0,0
51, Private,13.0, married, Exec-managerial, White,0,0.0,0.0,50.0,1
42, gov,10.0, Never-married, Prof-specialty, White,1,0.0,1340.0,40.0,0
37, gov,9.0, separated, Adm-clerical, White,1,0.0,0.0,35.0,0
18, Private,7.0, Never-married, Sales, White,1,0.0,0.0,40.0,0
36, Private,13.0, married, Other-service, Black,0,7298.0,0.0,36.0,1
35, Private,9.0, separated, Craft-repair, White,0,0.0,0.0,60.0,0
58, Self-employed,9.0, married, Sales, White,1,15024.0,0.0,35.0,1
17, Private,7.0, Never-married, Sales, White,1,0.0,0.0,12.0,0
44, gov,9.0, married, Transport-moving, Black,0,0.0,0.0,40.0,0
37, Private,9.0, married, Craft-repair, White,0,0.0,0.0,40.0,1
35, Private,10.0, Never-married, Sales, Amer-Indian-Eskimo,1,0.0,0.0,40.0,0
60, Private,9.0, married, Craft-repair, Asian-Pac-Islander,0,0.0,0.0,40.0,0
54, Self-employed,4.0, married, Machine-op-inspct, White,0,0.0,0.0,40.0,1
37, Private,13.0, Never-married, Exec-managerial, Black,0,0.0,0.0,60.0,1
50, Private,12.0, separated, Sales, White,1,0.0,0.0,40.0,0
38, Private,13.0, married, Sales, White,0,0.0,0.0,50.0,0
45, Private,13.0, married, Prof-specialty, White,0,0.0,0.0,55.0,0
25, Private,6.0, Never-married, Craft-repair, White,0,0.0,0.0,40.0,0
31, Private,10.0, married, Handlers-cleaners, White,0,0.0,0.0,40.0,0
90, Private,9.0, Never-married, Other-service, Black,0,0.0,2206.0,40.0,0
54, Private,9.0, married, Adm-clerical, Black,0,0.0,0.0,20.0,0
53, gov,1.0, Never-married, Machine-op-inspct, White,1,0.0,0.0,35.0,0
18, Private,9.0, Never-married, Sales, White,1,0.0,0.0,40.0,0
66, Self-employed,9.0, married, Farming-fishing, White,0,1409.0,0.0,50.0,0
75, Private,11.0, separated, Adm-clerical, White,1,0.0,0.0,20.0,0
65, Private,9.0, separated, Adm-clerical, White,1,0.0,0.0,40.0,0
35, Private,7.0, separated, Transport-moving, Black,0,3674.0,0.0,40.0,0
41, Private,9.0, separated, Sales, Black,1,0.0,0.0,38.0,0
25, Private,10.0, Never-married, Adm-clerical, White,0,0.0,0.0,42.0,0
33, Private,10.0, separated, Craft-repair, Other,1,0.0,0.0,40.0,0
28, Private,15.0, Never-married, Prof-specialty, White,0,0.0,0.0,55.0,1
59, gov,9.0, married, Other-service, White,0,0.0,0.0,40.0,0
40, gov,10.0, Never-married, Adm-clerical, White,1,0.0,0.0,38.0,0
41, Private,13.0, married, Exec-managerial, White,0,0.0,0.0,50.0,1
38, gov,14.0, married, Exec-managerial, White,0,0.0,0.0,70.0,1
23, Private,9.0, Never-married, Transport-moving, White,0,0.0,0.0,40.0,0
40, Private,13.0, married, Prof-specialty, White,0,0.0,0.0,40.0,1
41, Self-employed,9.0, married, Other-service, White,1,0.0,0.0,20.0,0
24, gov,12.0, married, Protective-serv, White,0,0.0,0.0,50.0,0
38, Private,10.0, separated, Craft-repair, White,0,0.0,1741.0,40.0,0
56, Private,9.0, married, Adm-clerical, White,0,0.0,0.0,35.0,0
58, Private,9.0, married, Adm-clerical, White,0,0.0,0.0,45.0,1
32, Private,9.0, Never-married, Other-service, White,1,0.0,0.0,34.0,0
40, Private,12.0, married, Tech-support, White,0,0.0,1977.0,60.0,1
45, Private,9.0, married, Adm-clerical, White,0,0.0,0.0,40.0,0
41, Private,15.0, married, Prof-specialty, White,1,0.0,0.0,40.0,1
42, Private,13.0, married, Adm-clerical, Black,1,0.0,0.0,40.0,0
59, gov,6.0, separated, Other-service, Black,1,0.0,0.0,30.0,0
19, gov,10.0, Never-married, Adm-clerical, White,0,0.0,0.0,40.0,0
58, Private,10.0, Never-married, Transport-moving, White,0,0.0,0.0,20.0,0
42, Self-employed,9.0, married, Farming-fishing, Asian-Pac-Islander,0,0.0,0.0,40.0,1
20, Private,9.0, Never-married, Other-service, White,1,0.0,0.0,40.0,0
32, Private,9.0, separated, Other-service, White,1,0.0,0.0,30.0,0
45, Private,11.0, separated, Exec-managerial, White,1,0.0,0.0,45.0,0
50, Private,4.0, separated, Craft-repair, White,0,0.0,0.0,40.0,0
36, Private,13.0, separated, Prof-specialty, White,1,0.0,0.0,40.0,0
45, Private,9.0, married, Sales, White,0,0.0,0.0,60.0,0
17, Private,7.0, Never-married, Other-service, White,0,0.0,0.0,12.0,0
59, Private,10.0, married, Sales, White,0,4064.0,0.0,40.0,0
26, Private,7.0, married, Craft-repair, White,0,0.0,0.0,40.0,0
37, Self-employed,10.0, married, Exec-managerial, Asian-Pac-Islander,0,0.0,0.0,75.0,1
64, Private,9.0, married, Exec-managerial, White,0,0.0,0.0,40.0,1
33, Private,13.0, Never-married, Prof-specialty, White,1,0.0,0.0,45.0,0
33, Private,9.0, married, Craft-repair, White,1,0.0,0.0,40.0,1
61, Private,9.0, married, Exec-managerial, White,0,0.0,0.0,40.0,1
17, Private,5.0, Never-married, Other-service, White,0,1055.0,0.0,24.0,0
50, Self-employed,14.0, married, Farming-fishing, White,0,2407.0,0.0,98.0,0
27, gov,14.0, Never-married, Prof-specialty, White,0,0.0,0.0,35.0,0
30, Private,9.0, separated, Prof-specialty, White,1,0.0,0.0,40.0,0
43, Private,9.0, married, Handlers-cleaners, Black,0,0.0,0.0,40.0,0
44, Private,10.0, married, Craft-repair, White,0,7298.0,0.0,40.0,1
35, Private,10.0, Never-married, Exec-managerial, White,1,0.0,0.0,40.0,0
25, Private,10.0, Never-married, Tech-support, White,1,0.0,0.0,40.0,0
24, Private,10.0, married, Machine-op-inspct, White,1,7298.0,0.0,48.0,1
22, Private,13.0, Never-married, Prof-specialty, White,1,0.0,0.0,15.0,0
42, gov,10.0, married, Craft-repair, White,0,5178.0,0.0,40.0,1
34, Private,12.0, separated, Sales, Black,1,0.0,0.0,45.0,0
60, Private,13.0, separated, Prof-specialty, White,1,0.0,0.0,42.0,0
21, Private,9.0, Never-married, Handlers-cleaners, White,0,0.0,0.0,40.0,0
57, gov,14.0, married, Sales, White,0,15024.0,0.0,40.0,1
41, Private,15.0, married, Prof-specialty, White,0,0.0,0.0,60.0,1
50, Private,10.0, separated, Other-service, White,0,0.0,0.0,45.0,0
25, Private,13.0, Never-married, Exec-managerial, White,1,0.0,0.0,40.0,0
50, Private,4.0, married, Craft-repair, White,0,0.0,0.0,40.0,0
36, Private,13.0, married, Prof-specialty, White,0,0.0,0.0,45.0,0
31, Private,9.0, separated, Prof-specialty, White,1,0.0,0.0,40.0,0
29, gov,13.0, Never-married, Protective-serv, White,0,0.0,0.0,56.0,0
21, Private,10.0, Never-married, Sales, White,0,0.0,0.0,45.0,0
27, Private,13.0, Never-married, Tech-support, Black,1,0.0,0.0,40.0,0
65, Private,9.0, married, Transport-moving, White,0,0.0,0.0,16.0,0
37, Self-employed,13.0, separated, Sales, White,1,0.0,0.0,60.0,0
24, Private,9.0, Never-married, Craft-repair, White,0,0.0,0.0,40.0,0
38, Private,9.0, separated, Sales, White,0,0.0,0.0,80.0,0
48, Private,13.0, married, Adm-clerical, White,0,7688.0,0.0,40.0,1
21, Private,10.0, Never-married, Other-service, Asian-Pac-Islander,1,0.0,0.0,25.0,0
31, Private,9.0, married, Transport-moving, White,0,0.0,0.0,45.0,1
55, Private,9.0, married, Sales, White,0,4386.0,0.0,40.0,1
24, Private,10.0, married, Adm-clerical, Asian-Pac-Islander,1,0.0,0.0,40.0,0
43, Private,9.0, separated, Adm-clerical, White,1,0.0,0.0,40.0,0
26, Private,12.0, Never-married, Tech-support, White,0,0.0,0.0,45.0,0
46, Private,12.0, Never-married, Prof-specialty, White,1,0.0,0.0,33.0,0
35, Private,12.0, married, Adm-clerical, White,0,0.0,0.0,40.0,1
41, Self-employed,10.0, married, Farming-fishing, White,0,0.0,0.0,54.0,1
26, Private,13.0, Never-married, Sales, White,0,0.0,0.0,40.0,0
34, Private,14.0, married, Exec-managerial, Asian-Pac-Islander,0,7298.0,0.0,35.0,1
36, Self-employed,13.0, separated, Prof-specialty, Black,1,0.0,0.0,40.0,1
22, Private,10.0, Never-married, Sales, White,0,0.0,0.0,15.0,0
24, Private,10.0, Never-married, Machine-op-inspct, White,0,0.0,0.0,40.0,0
77, Self-employed,10.0, married, Sales, White,0,0.0,0.0,40.0,0
22, Private,3.0, married, Machine-op-inspct, White,1,0.0,0.0,40.0,0
29, Private,10.0, Never-married, Tech-support, White,1,0.0,0.0,40.0,0
62, Private,9.0, separated, Other-service, White,1,0.0,0.0,24.0,0
39, Self-employed,9.0, married, Exec-managerial, White,0,0.0,0.0,40.0,0
43, Private,10.0, married, Craft-repair, White,0,0.0,1485.0,50.0,0
35, Private,9.0, separated, Transport-moving, White,0,0.0,0.0,45.0,0
29, Private,7.0, Never-married, Exec-managerial, White,1,0.0,0.0,40.0,0
76, Self-employed,14.0, married, Craft-repair, White,0,0.0,0.0,10.0,0
63, Self-employed,9.0, married, Farming-fishing, White,0,0.0,0.0,45.0,0
43, Private,10.0, married, Prof-specialty, White,1,0.0,1887.0,50.0,1
58, Self-employed,9.0, married, Handlers-cleaners, White,0,0.0,0.0,40.0,0
66, Private,9.0, Never-married, Transport-moving, White,0,2050.0,0.0,55.0,0
41, Private,10.0, Never-married, Craft-repair, Black,0,0.0,0.0,45.0,0
26, Private,13.0, Never-married, Adm-clerical, White,0,0.0,0.0,40.0,0
47, Private,11.0, Never-married, Other-service, White,0,0.0,0.0,40.0,0
55, gov,6.0, married, Adm-clerical, White,0,0.0,0.0,40.0,0
53, Private,9.0, married, Transport-moving, White,0,0.0,0.0,40.0,0
17, Private,3.0, Never-married, Other-service, White,0,0.0,0.0,48.0,0
30, Private,9.0, Never-married, Craft-repair, White,0,0.0,0.0,40.0,0
49, Private,14.0, Never-married, Prof-specialty, White,0,0.0,0.0,60.0,0
19, Private,9.0, Never-married, Sales, Black,0,0.0,0.0,30.0,0
45, Private,9.0, married, Other-service, Black,0,0.0,0.0,40.0,0
26, Private,12.0, Never-married, Sales, White,0,0.0,0.0,40.0,0
38, Private,11.0, married, Craft-repair, White,0,7298.0,0.0,40.0,1
36, gov,9.0, married, Protective-serv, White,0,7298.0,0.0,40.0,1
33, Private,9.0, Never-married, Farming-fishing, White,0,0.0,0.0,20.0,0
22, gov,10.0, Never-married, Protective-serv, Black,1,0.0,0.0,40.0,0
43, Self-employed,13.0, Never-married, Sales, White,0,0.0,0.0,42.0,0
56, Private,12.0, married, Other-service, White,0,0.0,0.0,25.0,0
31, Private,13.0, Never-married, Prof-specialty, White,0,0.0,0.0,25.0,0
33, Private,13.0, married, Exec-managerial, White,0,0.0,0.0,40.0,1
26, Private,9.0, married, Other-service, White,0,0.0,0.0,40.0,0
33, Private,13.0, married, Exec-managerial, White,0,0.0,0.0,40.0,1
46, gov,7.0, married, Transport-moving, White,0,0.0,0.0,30.0,0
38, gov,9.0, married, Adm-clerical, White,0,0.0,0.0,40.0,1
65, Private,7.0, separated, Other-service, Other,0,0.0,0.0,40.0,0
40, Private,11.0, married, Tech-support, White,0,0.0,0.0,40.0,1
42, Private,9.0, married, Adm-clerical, White,1,0.0,0.0,35.0,0
26, Self-employed,5.0, married, Craft-repair, White,0,0.0,0.0,40.0,0
36, Private,6.0, married, Other-service, White,1,0.0,0.0,24.0,0
62, Private,14.0, married, Prof-specialty, White,0,0.0,0.0,40.0,1
43, Private,13.0, married, Transport-moving, White,0,0.0,0.0,45.0,0
43, Private,13.0, separated, Exec-managerial, White,0,0.0,1564.0,45.0,1
22, Private,9.0, married, Sales, White,0,0.0,0.0,55.0,0
28, Private,9.0, married, Craft-repair, White,0,0.0,0.0,40.0,0
56, Self-employed,10.0, married, Sales, White,0,0.0,0.0,45.0,0
22, Private,12.0, Never-married, Sales, White,1,0.0,0.0,15.0,0
57, Private,13.0, separated, Exec-managerial, White,1,0.0,0.0,45.0,1
39, Private,9.0, separated, Sales, White,1,0.0,0.0,40.0,0
26, gov,10.0, Never-married, Adm-clerical, White,1,0.0,0.0,15.0,0
17, Private,7.0, Never-married, Other-service, White,0,0.0,0.0,10.0,0
40, gov,11.0, married, Machine-op-inspct, White,0,0.0,0.0,38.0,1
45, Private,9.0, married, Machine-op-inspct, Black,0,0.0,0.0,40.0,0
44, Private,9.0, Never-married, Craft-repair, Black,0,0.0,0.0,40.0,0
20, gov,10.0, Never-married, Adm-clerical, White,1,0.0,0.0,10.0,0
33, Private,9.0, married, Craft-repair, White,1,0.0,0.0,40.0,0
23, Private,10.0, Never-married, Sales, White,0,0.0,0.0,40.0,0
46, Self-employed,14.0, separated, Exec-managerial, White,0,0.0,0.0,30.0,0
38, Private,9.0, married, Sales, White,0,0.0,0.0,50.0,0
54, Private,9.0, separated, Transport-moving, White,0,0.0,0.0,40.0,0
46, Private,3.0, separated, Craft-repair, White,1,0.0,2339.0,45.0,0
25, Private,10.0, married, Craft-repair, White,0,0.0,0.0,40.0,0
46, Private,10.0, separated, Sales, White,1,0.0,0.0,40.0,0
36, gov,10.0, married, Transport-moving, White,1,0.0,0.0,40.0,0
