age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,previous,term_deposit
42,management,single,secondary,0,50,0,0,unknown,1-10,Q2,48,1,0,0
30,technician,married,secondary,0,152,1,1,unknown,1-10,Q2,213,2,0,0
60,admin.,married,secondary,0,290,1,0,unknown,1-10,Q2,583,1,0,0
57,entrepreneur,divorced,secondary,0,-37,0,0,unknown,1-10,Q2,173,1,0,0
36,management,married,tertiary,0,101,1,1,unknown,1-10,Q2,426,1,0,0
55,blue-collar,married,secondary,0,383,0,0,unknown,1-10,Q2,287,1,0,0
60,retired,married,tertiary,0,81,1,0,unknown,1-10,Q2,101,1,0,0
39,technician,married,secondary,0,0,1,0,unknown,1-10,Q2,203,1,0,0
46,management,married,tertiary,0,229,1,0,unknown,1-10,Q2,197,1,0,0
44,blue-collar,married,secondary,0,-674,1,0,unknown,1-10,Q2,257,1,0,0
53,blue-collar,married,primary,0,90,0,0,unknown,1-10,Q2,124,1,0,0
52,blue-collar,married,primary,0,128,1,0,unknown,1-10,Q2,229,1,0,0
59,blue-collar,married,primary,0,179,1,0,unknown,1-10,Q2,55,3,0,0
27,technician,single,tertiary,0,0,1,0,unknown,1-10,Q2,400,1,0,0
44,blue-collar,married,secondary,0,54,1,0,unknown,1-10,Q2,197,1,0,0
47,technician,married,tertiary,0,151,1,0,unknown,1-10,Q2,190,1,0,0
34,admin.,married,secondary,0,61,0,1,unknown,1-10,Q2,21,1,0,0
59,retired,single,secondary,0,30,1,0,unknown,1-10,Q2,514,1,0,0
45,management,married,tertiary,0,523,1,0,unknown,1-10,Q2,849,2,0,0
29,services,divorced,secondary,0,31,1,0,unknown,1-10,Q2,194,1,0,0
46,technician,divorced,secondary,0,79,0,0,unknown,1-10,Q2,144,1,0,0
56,self-employed,married,primary,0,-34,1,1,unknown,1-10,Q2,212,2,0,0
36,blue-collar,married,primary,0,448,1,0,unknown,1-10,Q2,286,1,0,0
59,retired,divorced,primary,0,81,1,0,unknown,1-10,Q2,107,1,0,0
44,blue-collar,married,secondary,0,144,1,0,unknown,1-10,Q2,247,2,0,0
41,admin.,married,secondary,0,351,1,0,unknown,1-10,Q2,518,1,0,0
33,management,single,tertiary,0,-67,1,0,unknown,1-10,Q2,364,1,0,0
59,management,divorced,tertiary,0,262,0,0,unknown,1-10,Q2,178,1,0,0
57,technician,married,primary,0,0,0,0,unknown,1-10,Q2,98,1,0,0
51,blue-collar,married,secondary,0,26,1,0,unknown,1-10,Q2,79,1,0,0
43,services,married,secondary,0,41,1,1,unknown,1-10,Q2,127,2,0,0
52,technician,married,tertiary,0,7,0,1,unknown,1-10,Q2,175,1,0,0
33,technician,single,secondary,0,105,1,0,unknown,1-10,Q2,262,2,0,0
29,admin.,single,secondary,0,818,1,1,unknown,1-10,Q2,61,1,0,0
34,services,married,secondary,0,-16,1,1,unknown,1-10,Q2,78,1,0,0
31,blue-collar,married,secondary,0,0,1,0,unknown,1-10,Q2,143,1,0,0
55,services,married,secondary,0,2476,1,0,unknown,1-10,Q2,579,1,0,1
32,admin.,single,secondary,0,217,1,0,unknown,1-10,Q2,345,1,0,0
38,technician,single,secondary,0,1685,1,0,unknown,1-10,Q2,185,1,0,0
55,admin.,single,secondary,0,802,1,1,unknown,1-10,Q2,100,2,0,0
28,unemployed,single,tertiary,0,0,1,0,unknown,1-10,Q2,125,2,0,0
23,blue-collar,married,secondary,0,94,1,0,unknown,1-10,Q2,193,1,0,0
32,technician,single,secondary,0,0,1,0,unknown,1-10,Q2,136,1,0,0
32,blue-collar,married,secondary,0,517,1,0,unknown,1-10,Q2,528,1,0,0
46,blue-collar,married,secondary,0,265,1,0,unknown,1-10,Q2,541,1,0,0
53,housemaid,divorced,primary,0,947,1,0,unknown,1-10,Q2,163,1,0,0
34,self-employed,single,secondary,0,3,1,0,unknown,1-10,Q2,301,1,0,0
57,unemployed,married,tertiary,0,42,0,0,unknown,1-10,Q2,46,1,0,0
37,blue-collar,married,secondary,0,37,1,0,unknown,1-10,Q2,204,1,0,0
59,blue-collar,married,secondary,0,57,1,0,unknown,1-10,Q2,98,1,0,0
33,services,married,secondary,0,22,1,0,unknown,1-10,Q2,71,1,0,0
56,blue-collar,divorced,primary,0,8,1,0,unknown,1-10,Q2,157,2,0,0
48,unemployed,married,secondary,0,293,1,0,unknown,1-10,Q2,243,1,0,0
43,services,married,primary,0,3,1,0,unknown,1-10,Q2,186,2,0,0
54,blue-collar,married,primary,0,348,1,0,unknown,1-10,Q2,579,2,0,0
26,student,single,secondary,0,0,1,0,unknown,1-10,Q2,610,2,0,0
40,management,married,tertiary,0,-4,1,0,unknown,1-10,Q2,2033,1,0,0
39,management,married,secondary,0,18,1,0,unknown,1-10,Q2,85,1,0,0
50,technician,married,primary,0,139,0,0,unknown,1-10,Q2,114,2,0,0
41,services,married,secondary,0,0,1,0,unknown,1-10,Q2,114,2,0,0
60,retired,divorced,secondary,0,216,1,0,unknown,1-10,Q2,238,1,0,0
52,blue-collar,married,secondary,0,782,1,0,unknown,1-10,Q2,93,3,0,0
48,blue-collar,married,secondary,0,904,1,0,unknown,1-10,Q2,128,2,0,0
39,technician,single,tertiary,0,47,1,0,unknown,1-10,Q2,181,1,0,0
47,services,single,secondary,0,176,1,0,unknown,1-10,Q2,303,2,0,0
40,blue-collar,married,secondary,0,1225,1,0,unknown,1-10,Q2,558,5,0,0
45,technician,married,secondary,0,86,1,0,unknown,1-10,Q2,270,1,0,0
26,admin.,single,secondary,0,82,1,0,unknown,1-10,Q2,228,1,0,0
52,management,married,tertiary,0,271,1,0,unknown,1-10,Q2,99,1,0,0
54,technician,married,secondary,0,1378,1,0,unknown,1-10,Q2,240,1,0,0
54,admin.,married,tertiary,0,184,0,0,unknown,1-10,Q2,673,2,0,1
50,blue-collar,married,primary,0,0,0,0,unknown,1-10,Q2,233,3,0,0
35,blue-collar,married,secondary,0,0,1,0,unknown,1-10,Q2,1056,1,0,0
44,services,married,secondary,0,1357,1,1,unknown,1-10,Q2,250,1,0,0
35,retired,single,primary,0,434,0,0,unknown,1-10,Q2,138,1,0,0
60,admin.,divorced,secondary,0,92,1,0,unknown,1-10,Q2,130,1,0,0
53,admin.,divorced,secondary,0,1151,1,0,unknown,1-10,Q2,412,1,0,0
48,unemployed,married,secondary,0,41,1,0,unknown,1-10,Q2,179,2,0,0
34,technician,married,secondary,0,51,1,0,unknown,1-10,Q2,19,2,0,0
54,services,married,secondary,0,214,1,0,unknown,1-10,Q2,458,2,0,0
51,management,married,secondary,0,1161,1,0,unknown,1-10,Q2,717,1,0,0
31,services,married,tertiary,0,37,1,0,unknown,1-10,Q2,313,1,0,0
35,technician,divorced,secondary,0,787,1,0,unknown,1-10,Q2,683,2,0,0
35,services,married,secondary,0,59,1,0,unknown,1-10,Q2,1077,1,0,0
38,technician,married,secondary,0,253,1,0,unknown,1-10,Q2,416,1,0,0
36,admin.,married,tertiary,0,211,1,0,unknown,1-10,Q2,146,2,0,0
58,retired,married,primary,0,235,1,0,unknown,1-10,Q2,167,1,0,0
54,management,married,secondary,0,4080,0,0,unknown,1-10,Q2,140,1,0,0
34,blue-collar,single,secondary,0,53,1,1,unknown,1-10,Q2,346,1,0,0
31,management,single,tertiary,0,0,1,0,unknown,1-10,Q2,562,1,0,0
51,retired,married,secondary,0,2127,1,0,unknown,1-10,Q2,172,1,0,0
33,management,married,tertiary,0,377,1,0,unknown,1-10,Q2,217,1,0,0
55,management,married,tertiary,0,73,1,0,unknown,1-10,Q2,142,2,0,0
42,admin.,married,secondary,0,445,1,0,unknown,1-10,Q2,67,1,0,0
34,blue-collar,married,secondary,0,243,1,0,unknown,1-10,Q2,291,1,0,0
33,blue-collar,single,secondary,0,307,1,0,unknown,1-10,Q2,309,2,0,0
38,services,married,secondary,0,155,1,0,unknown,1-10,Q2,248,1,0,0
50,technician,divorced,tertiary,0,173,0,1,unknown,1-10,Q2,98,1,0,0
43,management,married,tertiary,0,400,1,0,unknown,1-10,Q2,256,1,0,0
61,blue-collar,divorced,primary,0,1428,1,0,unknown,1-10,Q2,82,2,0,0
47,admin.,married,secondary,0,219,1,0,unknown,1-10,Q2,577,1,0,0
48,self-employed,married,tertiary,0,7,1,0,unknown,1-10,Q2,286,1,0,0
44,blue-collar,married,secondary,0,575,1,0,unknown,1-10,Q2,477,1,0,0
35,services,married,secondary,0,0,1,0,unknown,1-10,Q2,471,1,0,0
50,services,married,secondary,0,5699,1,0,unknown,1-10,Q2,381,2,0,0
41,management,married,tertiary,0,176,1,1,unknown,1-10,Q2,42,1,0,0
41,management,married,tertiary,0,517,1,0,unknown,1-10,Q2,251,1,0,0
42,retired,married,secondary,0,56,1,0,unknown,1-10,Q2,215,1,0,0
38,blue-collar,married,secondary,0,-390,1,0,unknown,1-10,Q2,287,1,0,0
53,retired,married,secondary,0,330,1,0,unknown,1-10,Q2,216,2,0,0
59,housemaid,divorced,primary,0,195,0,0,unknown,1-10,Q2,366,2,0,0
36,services,married,secondary,0,301,1,0,unknown,1-10,Q2,210,1,0,0
54,blue-collar,married,primary,0,-41,1,0,unknown,1-10,Q2,288,1,0,0
40,technician,married,tertiary,0,483,1,0,unknown,1-10,Q2,168,1,0,0
46,housemaid,married,primary,0,965,0,0,unknown,1-10,Q2,177,1,0,0
39,management,married,tertiary,0,378,1,1,unknown,1-10,Q2,127,2,0,0
40,unemployed,married,secondary,0,219,1,0,unknown,1-10,Q2,357,1,0,0
28,blue-collar,married,primary,0,324,1,0,unknown,1-10,Q2,175,1,0,0
35,entrepreneur,divorced,secondary,0,-69,1,0,unknown,1-10,Q2,300,1,0,0
55,retired,married,secondary,0,0,0,1,unknown,1-10,Q2,136,1,0,0
48,blue-collar,married,primary,0,278,1,0,unknown,1-10,Q2,125,2,0,0
33,management,single,tertiary,0,34,1,0,unknown,1-10,Q2,27,1,0,0
53,services,divorced,secondary,0,1467,1,0,unknown,1-10,Q2,124,1,0,0
47,blue-collar,married,primary,0,-12,1,0,unknown,1-10,Q2,18,1,0,0
31,services,married,secondary,0,388,1,0,unknown,1-10,Q2,730,2,0,0
57,entrepreneur,married,secondary,0,294,1,0,unknown,1-10,Q2,746,2,0,0
55,blue-collar,married,primary,0,627,1,0,unknown,1-10,Q2,247,1,0,0
45,blue-collar,married,primary,0,25,1,0,unknown,1-10,Q2,40,1,0,0
53,admin.,divorced,secondary,0,315,1,0,unknown,1-10,Q2,181,2,0,0
37,blue-collar,married,primary,0,0,1,0,unknown,1-10,Q2,79,1,0,0
44,admin.,divorced,secondary,0,66,1,0,unknown,1-10,Q2,206,1,0,0
49,blue-collar,divorced,primary,0,-9,1,1,unknown,1-10,Q2,389,1,0,0
46,technician,married,secondary,0,349,1,1,unknown,1-10,Q2,127,1,0,0
38,admin.,married,secondary,0,0,0,0,unknown,1-10,Q2,151,1,0,0
43,technician,married,secondary,0,434,1,0,unknown,1-10,Q2,117,1,0,0
49,management,married,tertiary,0,3237,1,0,unknown,1-10,Q2,232,3,0,0
22,blue-collar,single,secondary,0,0,1,0,unknown,1-10,Q2,179,2,0,0
40,management,married,tertiary,0,207,1,0,unknown,1-10,Q2,39,1,0,0
39,blue-collar,married,secondary,0,483,1,0,unknown,1-10,Q2,282,1,0,0
51,services,married,secondary,0,2248,1,0,unknown,1-10,Q2,714,2,0,0
49,admin.,married,secondary,0,428,1,0,unknown,1-10,Q2,50,1,0,0
53,blue-collar,married,secondary,0,0,1,1,unknown,1-10,Q2,181,1,0,0
34,services,single,secondary,0,0,1,0,unknown,1-10,Q2,142,1,0,0
33,technician,divorced,secondary,0,140,1,0,unknown,1-10,Q2,227,1,0,0
50,management,single,tertiary,0,297,1,0,unknown,1-10,Q2,119,1,0,0
39,blue-collar,married,primary,0,279,1,0,unknown,1-10,Q2,361,1,0,0
59,entrepreneur,divorced,secondary,0,901,1,0,unknown,1-10,Q2,73,3,0,0
30,technician,single,secondary,0,2573,1,0,unknown,1-10,Q2,67,2,0,0
36,services,married,secondary,0,143,1,1,unknown,1-10,Q2,350,1,0,0
40,blue-collar,married,secondary,0,475,1,0,unknown,1-10,Q2,332,2,0,0
53,blue-collar,married,secondary,0,70,1,0,unknown,1-10,Q2,611,2,0,0
34,management,single,tertiary,0,318,1,0,unknown,1-10,Q2,113,2,0,0
37,technician,married,secondary,0,275,1,0,unknown,1-10,Q2,132,1,0,0
42,management,divorced,tertiary,0,742,1,0,unknown,1-10,Q2,58,3,0,0
41,entrepreneur,married,primary,0,236,1,0,unknown,1-10,Q2,151,1,0,0
30,student,single,tertiary,0,25,1,0,unknown,1-10,Q2,89,2,0,0
37,management,single,tertiary,0,600,1,0,unknown,1-10,Q2,152,1,0,0
39,admin.,divorced,secondary,0,-349,1,0,unknown,1-10,Q2,611,2,0,0
41,blue-collar,married,primary,0,183,1,1,unknown,1-10,Q2,110,2,0,0
40,blue-collar,married,primary,0,0,1,0,unknown,1-10,Q2,463,1,0,0
42,management,single,tertiary,0,0,1,1,unknown,1-10,Q2,562,2,0,1
40,blue-collar,divorced,primary,0,0,1,0,unknown,1-10,Q2,962,1,0,0
57,technician,married,secondary,0,1078,1,0,unknown,1-10,Q2,10,4,0,0
56,entrepreneur,divorced,secondary,0,155,0,0,unknown,1-10,Q2,118,3,0,0
37,admin.,married,secondary,0,190,1,0,unknown,1-10,Q2,92,2,0,0
59,retired,married,secondary,0,319,1,0,unknown,1-10,Q2,143,3,0,0
39,services,divorced,secondary,0,-185,1,0,unknown,1-10,Q2,189,3,0,0
49,services,married,secondary,0,47,0,0,unknown,1-10,Q2,234,2,0,0
38,services,single,secondary,0,570,1,0,unknown,1-10,Q2,75,2,0,0
36,self-employed,married,tertiary,0,19,0,0,unknown,1-10,Q2,189,2,0,0
50,blue-collar,married,primary,0,61,1,0,unknown,1-10,Q2,621,3,0,0
41,admin.,married,secondary,0,-62,1,1,unknown,1-10,Q2,55,2,0,0
54,technician,married,tertiary,0,258,0,0,unknown,1-10,Q2,310,4,0,0
58,blue-collar,married,primary,0,76,1,0,unknown,1-10,Q2,156,2,0,0
30,blue-collar,single,secondary,0,0,1,0,unknown,1-10,Q2,5,2,0,0
33,admin.,single,secondary,0,352,1,0,unknown,1-10,Q2,225,2,0,0
47,admin.,married,secondary,0,368,1,0,unknown,1-10,Q2,125,2,0,0
50,technician,single,tertiary,0,339,1,0,unknown,1-10,Q2,2,3,0,0
32,blue-collar,married,secondary,0,1331,1,0,unknown,1-10,Q2,286,2,0,0
40,self-employed,married,secondary,0,672,1,0,unknown,1-10,Q2,164,2,0,0
37,management,married,tertiary,0,58,1,0,unknown,1-10,Q2,98,2,0,0
24,student,single,secondary,0,423,1,0,unknown,1-10,Q2,226,3,0,0
54,management,married,tertiary,0,0,0,0,unknown,1-10,Q2,120,2,0,0
34,technician,married,secondary,0,19,1,0,unknown,1-10,Q2,362,4,0,0
56,technician,divorced,primary,0,13,1,0,unknown,1-10,Q2,357,2,0,0
31,blue-collar,single,secondary,0,3,1,0,unknown,1-10,Q2,200,2,0,0
24,student,single,secondary,0,82,1,0,unknown,1-10,Q2,204,2,0,0
42,blue-collar,divorced,primary,0,28,1,0,unknown,1-10,Q2,126,3,0,0
57,technician,married,secondary,0,792,1,0,unknown,1-10,Q2,65,2,0,0
51,admin.,married,secondary,0,531,1,0,unknown,1-10,Q2,267,2,0,0
57,retired,married,secondary,0,211,1,0,unknown,1-10,Q2,248,2,0,0
36,services,single,secondary,0,62,1,0,unknown,1-10,Q2,215,2,0,0
50,technician,married,secondary,0,1234,1,0,unknown,1-10,Q2,205,2,0,0
54,management,married,tertiary,0,313,1,0,unknown,1-10,Q2,83,2,0,0
55,blue-collar,married,secondary,0,89,1,0,unknown,1-10,Q2,106,3,0,0
44,blue-collar,married,secondary,0,129,1,1,unknown,1-10,Q2,189,2,0,0
56,admin.,married,secondary,0,353,1,0,unknown,1-10,Q2,106,2,0,0
55,services,divorced,primary,0,96,1,1,unknown,1-10,Q2,311,2,0,0
37,services,divorced,secondary,0,398,1,1,unknown,1-10,Q2,214,2,0,0
33,admin.,single,tertiary,0,193,0,0,unknown,1-10,Q2,132,2,0,0
46,admin.,married,secondary,0,-358,1,0,unknown,1-10,Q2,358,2,0,0
36,blue-collar,married,secondary,0,539,1,1,unknown,1-10,Q2,453,2,0,0
51,technician,single,secondary,0,0,1,0,unknown,1-10,Q2,364,2,0,0
40,retired,single,primary,0,0,0,0,unknown,1-10,Q2,136,2,0,0
42,blue-collar,married,secondary,0,490,1,0,unknown,1-10,Q2,386,2,0,0
51,blue-collar,married,secondary,0,0,1,0,unknown,1-10,Q2,173,2,0,0
48,management,married,secondary,0,161,1,0,unknown,1-10,Q2,224,3,0,0
32,technician,divorced,tertiary,0,2558,0,0,unknown,1-10,Q2,148,2,0,0
31,admin.,single,secondary,0,98,1,0,unknown,1-10,Q2,196,2,0,0
55,management,single,tertiary,0,115,0,0,unknown,1-10,Q2,111,4,0,0
40,blue-collar,single,secondary,0,436,1,0,unknown,1-10,Q2,231,3,0,0
47,technician,married,tertiary,0,831,1,0,unknown,1-10,Q2,316,3,0,0
41,blue-collar,married,secondary,0,290,1,0,unknown,1-10,Q2,240,2,0,0
48,blue-collar,married,secondary,0,1,0,0,unknown,1-10,Q2,669,3,0,0
30,blue-collar,single,secondary,0,-457,1,0,unknown,1-10,Q2,143,2,0,0
58,management,single,tertiary,0,1387,1,0,unknown,1-10,Q2,174,5,0,0
45,management,divorced,tertiary,0,24598,1,0,unknown,1-10,Q2,313,3,0,0
49,blue-collar,married,secondary,0,30,1,0,unknown,1-10,Q2,135,4,0,0
42,admin.,single,secondary,0,1022,1,0,unknown,1-10,Q2,146,2,0,0
53,technician,married,secondary,0,56,1,1,unknown,1-10,Q2,152,2,0,0
51,admin.,single,secondary,1,-2,0,0,unknown,1-10,Q2,402,3,0,0
32,services,single,secondary,0,121,1,0,unknown,1-10,Q2,213,2,0,0
41,blue-collar,single,secondary,0,842,1,0,unknown,1-10,Q2,144,3,0,0
43,management,divorced,secondary,0,693,1,0,unknown,1-10,Q2,124,3,0,0
40,blue-collar,divorced,secondary,0,-333,1,0,unknown,1-10,Q2,183,2,0,0
50,blue-collar,married,primary,0,1533,1,0,unknown,1-10,Q2,325,2,0,0
34,management,married,tertiary,0,46,1,0,unknown,1-10,Q2,39,4,0,0
45,technician,married,secondary,0,44,1,0,unknown,1-10,Q2,95,4,0,0
39,blue-collar,married,primary,0,-100,1,0,unknown,1-10,Q2,680,2,0,0
44,services,married,tertiary,0,510,1,0,unknown,1-10,Q2,421,4,0,0
55,management,married,tertiary,0,685,1,0,unknown,1-10,Q2,174,3,0,0
46,management,single,tertiary,0,187,1,0,unknown,1-10,Q2,113,2,0,0
45,blue-collar,married,secondary,0,66,1,0,unknown,1-10,Q2,808,2,0,0
34,admin.,married,secondary,0,560,1,0,unknown,1-10,Q2,198,3,0,0
36,blue-collar,married,secondary,0,0,1,0,unknown,1-10,Q2,195,2,0,0
31,admin.,single,secondary,0,12,1,0,unknown,1-10,Q2,208,2,0,0
44,blue-collar,single,secondary,0,34,1,0,unknown,1-10,Q2,404,4,0,0
33,entrepreneur,single,tertiary,0,1068,1,0,unknown,1-10,Q2,396,2,0,0
40,blue-collar,married,secondary,0,211,1,0,unknown,1-10,Q2,216,4,0,0
46,admin.,single,tertiary,0,377,1,0,unknown,1-10,Q2,98,2,0,0
48,management,married,tertiary,0,263,1,0,unknown,1-10,Q2,350,2,0,0
42,services,married,secondary,0,1263,1,0,unknown,1-10,Q2,114,2,0,0
27,services,married,secondary,0,8,1,0,unknown,1-10,Q2,88,3,0,0
48,admin.,married,secondary,0,126,1,1,unknown,1-10,Q2,379,2,0,0
59,admin.,married,secondary,0,230,1,0,unknown,1-10,Q2,190,3,0,0
46,technician,married,tertiary,0,841,1,0,unknown,1-10,Q2,158,1,0,0
38,admin.,divorced,secondary,0,308,1,0,unknown,1-10,Q2,102,1,0,0
43,management,divorced,tertiary,0,1,1,0,unknown,1-10,Q2,306,1,0,0
38,admin.,divorced,tertiary,0,86,1,0,unknown,1-10,Q2,218,1,0,0
23,student,single,secondary,0,157,1,0,unknown,1-10,Q2,54,1,0,0
34,services,married,secondary,0,22,1,0,unknown,1-10,Q2,344,1,0,0
38,admin.,married,secondary,0,46,1,1,unknown,1-10,Q2,195,1,0,0
37,blue-collar,married,secondary,0,1293,0,0,unknown,1-10,Q2,652,1,0,0
25,admin.,single,secondary,0,122,1,0,unknown,1-10,Q2,286,1,0,0
49,blue-collar,single,secondary,0,143,1,0,unknown,1-10,Q2,83,1,0,0
38,admin.,single,secondary,0,393,0,0,unknown,1-10,Q2,184,2,0,0
43,blue-collar,married,primary,0,98,1,0,unknown,1-10,Q2,235,1,0,0
33,management,married,tertiary,0,0,1,0,unknown,1-10,Q2,290,1,0,0
55,blue-collar,married,secondary,0,224,1,0,unknown,1-10,Q2,232,1,0,0
38,blue-collar,married,secondary,0,757,1,0,unknown,1-10,Q2,133,1,0,0
49,services,married,secondary,0,245,1,1,unknown,1-10,Q2,318,1,0,0
40,management,married,secondary,0,8486,0,0,unknown,1-10,Q2,260,3,0,0
38,blue-collar,married,secondary,0,20,1,0,unknown,1-10,Q2,402,1,0,0
